Date,Close,Symbol,Rolling_Avg_150d
2025-01-02,46.7505,WDC,
2025-01-03,48.4128,WDC,
2025-01-06,49.6067,WDC,
2025-01-07,49.0173,WDC,
2025-01-08,48.4053,WDC,
2025-01-10,47.4683,WDC,
2025-01-13,46.8638,WDC,
2025-01-14,47.4079,WDC,
2025-01-15,48.836,WDC,
2025-01-16,48.5488,WDC,
2025-01-17,49.1458,WDC,
2025-01-21,50.9517,WDC,
2025-01-22,51.8585,WDC,
2025-01-23,51.8963,WDC,
2025-01-24,50.9366,WDC,
2025-01-27,48.6622,WDC,
2025-01-28,47.5061,WDC,
2025-01-29,47.4532,WDC,
2025-01-30,49.7049,WDC,
2025-01-31,49.2138,WDC,
2025-02-03,48.6773,WDC,
2025-02-04,48.2164,WDC,
2025-02-05,48.904,WDC,
2025-02-06,48.7226,WDC,
2025-02-07,48.7075,WDC,
2025-02-10,52.1683,WDC,
2025-02-11,52.0776,WDC,
2025-02-12,50.8384,WDC,
2025-02-13,51.05,WDC,
2025-02-14,51.6771,WDC,
2025-02-18,54.4276,WDC,
2025-02-19,54.0271,WDC,
2025-02-20,53.8684,WDC,
2025-02-21,51.9151,WDC,
2025-02-24,49.02,WDC,
2025-02-25,49.07,WDC,
2025-02-26,50.16,WDC,
2025-02-27,48.2,WDC,
2025-02-28,48.93,WDC,
2025-03-03,47.01,WDC,
2025-03-04,44.63,WDC,
2025-03-05,44.2,WDC,
2025-03-06,41.45,WDC,
2025-03-07,41.7,WDC,
2025-03-10,40.54,WDC,
2025-03-11,41.8,WDC,
2025-03-12,42.96,WDC,
2025-03-13,42.03,WDC,
2025-03-14,44.53,WDC,
2025-03-17,44.75,WDC,
2025-03-18,44.34,WDC,
2025-03-19,44.9,WDC,
2025-03-20,44.51,WDC,
2025-03-21,43.66,WDC,
2025-03-24,44.31,WDC,
2025-03-25,43.39,WDC,
2025-03-26,42.62,WDC,
2025-03-27,41.91,WDC,
2025-03-28,40.62,WDC,
2025-03-31,40.43,WDC,
2025-04-01,40.89,WDC,
2025-04-02,41.78,WDC,
2025-04-03,34.15,WDC,
2025-04-04,30.54,WDC,
2025-04-07,31.16,WDC,
2025-04-08,31.55,WDC,
2025-04-09,36.3,WDC,
2025-04-10,34.87,WDC,
2025-04-11,34.4,WDC,
2025-04-14,35.82,WDC,
2025-04-15,35.93,WDC,
2025-04-16,35.62,WDC,
2025-04-17,36.51,WDC,
2025-04-21,35.96,WDC,
2025-04-22,36.68,WDC,
2025-04-23,37.7,WDC,
2025-04-24,40.17,WDC,
2025-04-25,40.78,WDC,
2025-04-28,40.91,WDC,
2025-04-29,40.62,WDC,
2025-04-30,43.86,WDC,
2025-05-01,43.95,WDC,
2025-05-02,44.69,WDC,
2025-05-05,45.03,WDC,
2025-05-06,44.29,WDC,
2025-05-07,44.3,WDC,
2025-05-08,44.3,WDC,
2025-05-09,44.1,WDC,
2025-05-12,46.57,WDC,
2025-05-13,49.01,WDC,
2025-05-14,49.2,WDC,
2025-05-15,49.75,WDC,
2025-05-16,49.99,WDC,
2025-05-19,50.72,WDC,
2025-05-20,50.63,WDC,
2025-05-21,49.49,WDC,
2025-05-22,49.84,WDC,
2025-05-23,50.18,WDC,
2025-05-27,51.82,WDC,
2025-05-28,52.35,WDC,
2025-05-29,52.55,WDC,
2025-05-30,51.55,WDC,
2025-06-02,52.19,WDC,
2025-06-03,53.77,WDC,
2025-06-04,54.43,WDC,
2025-06-05,55.05,WDC,
2025-06-06,55.45,WDC,
2025-06-09,57.02,WDC,
2025-06-10,55.95,WDC,
2025-06-11,55.67,WDC,
2025-06-12,55.78,WDC,
2025-06-13,55.7,WDC,
2025-06-16,57.41,WDC,
2025-06-17,58.57,WDC,
2025-06-18,59.19,WDC,
2025-06-20,59.29,WDC,
2025-06-23,60.38,WDC,
2025-06-24,62.07,WDC,
2025-06-25,62.55,WDC,
2025-06-26,63.51,WDC,
2025-06-27,63.29,WDC,
2025-06-30,63.99,WDC,
2025-07-01,63.84,WDC,
2025-07-02,65.78,WDC,
2025-07-03,66.08,WDC,
2025-07-07,65.215,WDC,
2025-07-08,64.02,WDC,
2025-07-09,64.64,WDC,
2025-07-10,65.06,WDC,
2025-07-11,66.14,WDC,
2025-07-14,66.93,WDC,
2025-07-15,67.53,WDC,
2025-07-16,66.53,WDC,
2025-07-17,67.02,WDC,
2025-07-18,68.0,WDC,
2025-07-21,68.74,WDC,
2025-07-22,67.06,WDC,
2025-07-23,69.32,WDC,
2025-07-24,69.02,WDC,
2025-07-25,68.82,WDC,
2025-07-28,68.985,WDC,
2025-07-29,70.61,WDC,
2025-07-30,71.43,WDC,
2025-07-31,78.69,WDC,
2025-08-01,76.55,WDC,
2025-08-04,77.29,WDC,
2025-08-05,75.84,WDC,
2025-08-06,73.78,WDC,
2025-08-07,74.44,WDC,
2025-08-08,74.97,WDC,51.597959333333336
2025-08-11,74.64,WDC,51.78388933333333
2025-08-12,75.91,WDC,51.967204
2025-08-13,76.07,WDC,52.143626
2025-08-14,76.24,WDC,52.32511066666667
2025-08-15,75.06,WDC,52.50280866666667
2025-08-18,76.29,WDC,52.69495333333334
2025-08-19,75.86,WDC,52.88826133333333
2025-08-20,75.64,WDC,53.076475333333335
2025-08-21,74.66,WDC,53.24863533333333
2025-08-22,76.97,WDC,53.43811
2025-08-25,79.22,WDC,53.638604666666666
2025-08-26,79.71,WDC,53.830326666666664
2025-08-27,80.67,WDC,54.02240333333333
2025-08-28,82.04,WDC,54.22336133333333
2025-08-29,80.34,WDC,54.419383999999994
2025-09-02,81.91,WDC,54.641036
2025-09-03,86.0,WDC,54.897662000000004
2025-09-04,90.49,WDC,55.184574000000005
2025-09-05,92.04,WDC,55.46680799999999
2025-09-08,93.29,WDC,55.76064933333334
2025-09-09,94.54,WDC,56.06640066666667
2025-09-10,95.02,WDC,56.37842466666666
2025-09-11,96.15,WDC,56.693397999999995
2025-09-12,97.66,WDC,57.01964733333333
2025-09-15,102.39,WDC,57.377530666666665
2025-09-16,103.09,WDC,57.71700866666667
2025-09-17,100.94,WDC,58.04275799999999
2025-09-18,105.15,WDC,58.40483533333333
2025-09-19,106.63,WDC,58.775368666666665
2025-09-22,112.41,WDC,59.18025466666666
2025-09-23,110.25,WDC,59.552404
2025-09-24,109.69,WDC,59.92349000000001
2025-09-25,107.21,WDC,60.27910066666666
2025-09-26,106.88,WDC,60.64553333333333
2025-09-29,116.74,WDC,61.09700000000001
2025-09-30,120.06,WDC,61.57026666666666
2025-10-01,130.59,WDC,62.10646666666666
2025-10-02,131.26,WDC,62.6602
2025-10-03,131.31,WDC,63.2094
2025-10-06,125.28,WDC,63.7312
2025-10-07,119.93,WDC,64.23320000000001
2025-10-08,121.18,WDC,64.7464
