Date,Close,Symbol,Rolling_Avg_150d
2025-01-02,163.39080810546875,ORCL,
2025-01-03,163.6761932373047,ORCL,
2025-01-06,163.0561981201172,ORCL,
2025-01-07,159.45437622070312,ORCL,
2025-01-08,160.5467529296875,ORCL,
2025-01-10,152.41778564453125,ORCL,
2025-01-13,151.84561157226562,ORCL,
2025-01-14,154.20339965820312,ORCL,
2025-01-15,156.1764373779297,ORCL,
2025-01-16,157.38986206054688,ORCL,
2025-01-17,158.85977172851562,ORCL,
2025-01-21,170.24427795410156,ORCL,
2025-01-22,181.73724365234375,ORCL,
2025-01-23,183.9569549560547,ORCL,
2025-01-24,181.1256103515625,ORCL,
2025-01-27,156.14683532714844,ORCL,
2025-01-28,161.78976440429688,ORCL,
2025-01-29,159.83645629882812,ORCL,
2025-01-30,168.08380126953125,ORCL,
2025-01-31,167.76808166503906,ORCL,
2025-02-03,166.32778930664062,ORCL,
2025-02-04,165.6273193359375,ORCL,
2025-02-05,169.34652709960938,ORCL,
2025-02-06,170.02725219726562,ORCL,
2025-02-07,172.10879516601562,ORCL,
2025-02-10,176.50868225097656,ORCL,
2025-02-11,174.802001953125,ORCL,
2025-02-12,169.89898681640625,ORCL,
2025-02-13,171.51687622070312,ORCL,
2025-02-14,171.8128204345703,ORCL,
2025-02-18,177.3768310546875,ORCL,
2025-02-19,179.0736541748047,ORCL,
2025-02-20,173.62802124023438,ORCL,
2025-02-21,165.54840087890625,ORCL,
2025-02-24,167.66944885253906,ORCL,
2025-02-25,166.2685546875,ORCL,
2025-02-26,170.14559936523438,ORCL,
2025-02-27,162.53952026367188,ORCL,
2025-02-28,163.82200622558594,ORCL,
2025-03-03,159.83645629882812,ORCL,
2025-03-04,155.34776306152344,ORCL,
2025-03-05,159.38262939453125,ORCL,
2025-03-06,148.90579223632812,ORCL,
2025-03-07,153.0688934326172,ORCL,
2025-03-10,146.7847442626953,ORCL,
2025-03-11,142.2368621826172,ORCL,
2025-03-12,148.8564453125,ORCL,
2025-03-13,145.66998291015625,ORCL,
2025-03-14,147.25827026367188,ORCL,
2025-03-17,151.9344024658203,ORCL,
2025-03-18,147.43585205078125,ORCL,
2025-03-19,150.39541625976562,ORCL,
2025-03-20,150.66180419921875,ORCL,
2025-03-21,150.1783905029297,ORCL,
2025-03-24,152.7827911376953,ORCL,
2025-03-25,151.85546875,ORCL,
2025-03-26,145.80809020996094,ORCL,
2025-03-27,143.8153076171875,ORCL,
2025-03-28,138.9714813232422,ORCL,
2025-03-31,137.92578125,ORCL,
2025-04-01,140.0270538330078,ORCL,
2025-04-02,143.89422607421875,ORCL,
2025-04-03,135.3805389404297,ORCL,
2025-04-04,126.54129791259766,ORCL,
2025-04-07,125.4462661743164,ORCL,
2025-04-08,122.82211303710938,ORCL,
2025-04-09,137.80740356445312,ORCL,
2025-04-10,132.02542114257812,ORCL,
2025-04-11,131.03533935546875,ORCL,
2025-04-14,133.30259704589844,ORCL,
2025-04-15,132.60955810546875,ORCL,
2025-04-16,128.47105407714844,ORCL,
2025-04-17,127.34239196777344,ORCL,
2025-04-21,121.60000610351562,ORCL,
2025-04-22,125.97608947753906,ORCL,
2025-04-23,130.0947723388672,ORCL,
2025-04-24,136.1440887451172,ORCL,
2025-04-25,137.11436462402344,ORCL,
2025-04-28,138.7479705810547,ORCL,
2025-04-29,139.39149475097656,ORCL,
2025-04-30,139.3221893310547,ORCL,
2025-05-01,144.04481506347656,ORCL,
2025-05-02,149.23275756835938,ORCL,
2025-05-05,147.8070526123047,ORCL,
2025-05-06,146.23284912109375,ORCL,
2025-05-07,147.88626098632812,ORCL,
2025-05-08,148.80702209472656,ORCL,
2025-05-09,148.8466339111328,ORCL,
2025-05-12,155.65829467773438,ORCL,
2025-05-13,160.65814208984375,ORCL,
2025-05-14,161.3313751220703,ORCL,
2025-05-15,157.81663513183594,ORCL,
2025-05-16,158.89581298828125,ORCL,
